ID_Ref;Paremia_ID;Paremia_Canonica;Desautomatizacion;Mecanismo;Mecanismos_Secundarios;Patron_Sintactico;Dominio_Meta;Elementos_Sustituidos;Hash;Check
58037;25;A buen entendedor, pocas palabras bastan;Con nicki, las palabras no bastan;Sustitución;;Con [Sust], [Sust] no bastan;General;"{""A buen entendedor"": ""Con nicki"", ""pocas palabras"": ""las palabras""}";20f06e414802e1743b6bdcfcf320dae8705f04ba1791a81ef50f17038d8c1bb0;
58037;25;A buen entendedor, pocas palabras bastan;No uses palabras si bastan;Sustitución;Truncamiento;No [Sust] [Sust] si [Sust];General;"{""A buen entendedor"": """", ""pocas palabras bastan"": ""usar palabras si bastan""}";c42cca33b57290de838e1c0cd39cf05df60b033d80f16f5ba865a36bf41c8fe4;
58037;25;A buen entendedor, pocas palabras bastan;No cambiará las cosas, pero sinceramente, pocas palabras bastan ahora.;Adición;;[Adición] pocas palabras bastan;General;"{"""": ""No cambiará las cosas, pero sinceramente""}";1090740be575051aa3fffef53a9a8c4b18d2ce271b311ea5f114cff4a0e87143;
58042;59;A buenas horas, mangas verdes;En el césped y a buenas horas, mangas verde.;Adición;Permutación;[Adición] a buenas horas, [Sust] [Sust];General;"{""mangas verdes"": ""mangas verde"", """": ""En el césped y""}";8e56118c0de3b70205dbf0aa7e978179f99caf086e32d62c102b5cc98cf6fdbf;
58047;81;A caballo regalado, no se le miran los dientes;En fin, si a caballo regalado no se le miran los dientes, a los gatos, menos.;Adición;;A caballo regalado, no se le miran los dientes, [Adición];General;"{"""": ""a los gatos, menos""}";e0eb39322b21bdbfa46bc9678f37d98abceecfcfc2209f778033669f50b248ac;
58047;81;A caballo regalado, no se le miran los dientes;Acaso no sabés que a caballo regalado no se le tiran los dientes;Sustitución;;A caballo regalado, no se le [Sust] los dientes;General;"{""miran"": ""tiran""}";caa1a861218ef5d11f1c3d81d2b4d1519b6a25cedd759052c8c79fde1f16b4d5;
58047;81;A caballo regalado, no se le miran los dientes;A caballo regalado no se le miran los dientes”, pero ¿es regalado;Permutación;Adición;A caballo regalado [Adición] no se le miran los dientes;General;"{"""": ""pero ¿es regalado""}";80fa9fdfcad450223eaef3a78a7a8299ace651685c38232d490d4d7836ab979a;
58047;81;A caballo regalado, no se le miran los dientes;A caballo regalado no se le miran los dientes, pero hay otros caballos mejores.;Adición;;A caballo regalado, no se le miran los dientes, [Adición];General;"{"""": ""pero hay otros caballos mejores""}";0d69dd695c5e50933cb22e894be08d32269e2bbbc9d045fa5215e6b01b257d8a;
58047;81;A caballo regalado, no se le miran los dientes;A caballo regalado no se le miran los dientes, señores, así de simple.;Adición;;A caballo regalado, no se le miran los dientes, [Adición];General;"{"""": ""señores, así de simple""}";9e142e716fa358822a798543f9dafa77b95b73c2b30d6fa3e4640e96f8a9e7a5;
58047;74;A caballo regalado, no le mires el diente;Si no, nos aguantamos, que a caballo regaklado no le mires el diente saludos;Adición;;[Adición] a caballo regalado, no le mires el diente [Adición];General;"{"""": ""saludos""}";d7af9d8794efc2affd7d8b68b159af0860189a6df0f6ef8346d64409deed8b32;
58047;74;A caballo regalado, no le mires el diente;A caballo regalado, no le mire los dientes especia|mente en este pais.;Adición;;A caballo regalado, no le mire [Sust] los dientes [Sust];General;"{"""": ""especialmente en este pais""}";255a83c1eedfe36eeab4bdc6f4348bba1ac0a8920fcbe97e5227bb8b73f00cd5;
58047;74;A caballo regalado, no le mires el diente;En lo que a mí respecta, a caballo regalado, no se le ve colmillo.;Sustitución;Adición;A caballo regalado, no [Sust] el [Sust];General;"{""mires"": ""se ve"", ""diente"": ""colmillo""}";e4ce363aca09dc59484956e522a88733e40b7451da206682970da5ef1cd8909b;
58047;74;A caballo regalado, no le mires el diente;En lo que a mi concierne... es caballo regalado, no le veré los dientes.;Adición;;es caballo regalado, no [Sust] los dientes;General;"{""mires"": ""veré"", """": ""En lo que a mi concierne...""}";c61489f878e64fd812aaa05c90a5caed6f8764014c06538bbb4b76c9764c413d;
58047;74;A caballo regalado, no le mires el diente;A ese caballo regalado, le voy a mirar los dientes.;Metalogismo;;A [Sust] regalado, [Acción] el [Sust];General;"{""no le mires"": ""le voy a mirar""}";c1a5f39ab469d116fa23a973b411fc726e907da45df6ab93cac5b49ee5a4c31e;
58047;74;A caballo regalado, no le mires el diente;Los dientes a un caballo regalado, pero;Permutación;Anacoluto;Los [Sust] a un caballo regalado, [Conjunción];General;"{""no le mires el diente"": ""los dientes a""}";32444a4ec541e924d37741c886b9f13d051542700957fc793145a7a73ab43c46;
58047;74;A caballo regalado, no le mires el diente;A caballo regalado no mires la boca.;Sustitución;;A caballo regalado, no le mires el [Sust];General;"{""diente"": ""boca""}";2a3b599e56d541c02c13be9867b4326942825bfffffd4c9ab7fd3bed52362f51;
58047;74;A caballo regalado, no le mires el diente;A caballo regalado no le mires el diente...pero: alguien nos está timando.;Adición;Anacoluto;A caballo regalado, no le mires el diente...[Adición];General;"{"""": ""pero: alguien nos está timando""}";cd5477c55b9a39ab9297c6f5e269ca33b2b5ccd13b6d967e1f95da46e004b016;
58047;74;A caballo regalado, no le mires el diente;Qué es eso qué dicen de a caballo regalado...?...no le mires el diente.;Adición;;Qué es eso qué dicen de [Paremia]...;General;"{"""": ""Qué es eso qué dicen de ""}";80aa11112b4aca40629e6bd6cd662f659d39be43970a7e2ba3011fd61c7220f0;
58047;74;A caballo regalado, no le mires el diente;Nunca a caballo regalado, lo esperes con jockey, tal vez tu lo montes mejor...;Adición;Permutación, Metalogismo;Nunca a [Sust] regalado, [Adición] tal vez [Sust] [Sust];General;"{"""": ""Nunca"", ""lo mires el diente"": ""lo esperes con jockey, tal vez tu lo montes mejor"", ""A caballo regalado"": ""a caballo regalado""}";d63443bc6e8152fdc9e67fca081fa1fd4083d6bc880bd5d4d0c57b14386a1fb9;
58047;74;A caballo regalado, no le mires el diente;Además, a caballo regalado, gracias y que se repita.;Adición;Permutación;[Adición] a caballo regalado, [Sust];General;"{""no le mires el diente"": ""gracias y que se repita"", """": ""Además""}";1914dcee6a0103013f699df864cc5fd414fbfa40edb0c508c802b497edfbb10b;
58047;74;A caballo regalado, no le mires el diente;Ademas como dice mi madre: a caballo regalado no le mires los dientes xddddd;Adición;;Ademas como dice [Sust]: a caballo regalado no le mires [Sust] xddddd;General;"{"""": ""Ademas como dice mi madre: "", ""el diente"": ""los dientes""}";ec6f6ff21d318e17ce8268f7b57394e5496d643d8379613716fac33f7ba489b1;
58047;74;A caballo regalado, no le mires el diente;A caballo regalado, quítale el envoltorio por lo menos, coño.;Sustitución;Adición;A caballo regalado, [Sust] el [Sust];General;"{""no le mires el diente"": ""quítale el envoltorio por lo menos""}";6ebe159d0c7cc37c4a7bfa7be8b140b891dbc952d62b6ac734de55f709d5e91f;
58047;74;A caballo regalado, no le mires el diente;A caballo regalado, no le vamos a hacer un macro de la dentadura;Adición;Metaplasmo;A caballo regalado, no le [Sust] el [Sust];General;"{""mires el diente"": ""vamos a hacer un macro de la dentadura""}";a3cdd4aa63011469f47814b2f04b5362bbd15a8cb146f06723054e2b44c1d08e;
58048;83;A cada cerdo le llega su San Martín;A cada cerdo le llega su hora y si es en sopa mejor;Adición;Fusión;A cada [Sust] le llega su [Sust] y [Adición];General;"{"""": ""y si es en sopa mejor""}";4e4859b25e268cb0b4ab55717af2997ca54abc3b502e89e09653c273ebd61095;
58048;83;A cada cerdo le llega su San Martín;"En ese campo; pero no olvide que a todo cerdo le llega su nochebuena.";Sustitución;Fusión;A [Sust] [Sust] le llega su [Sust];General;"{""cerdo"": ""cerdo"", ""San Martín"": ""nochebuena""}";b1a1c7ffd3abf2aec909bf56cb363683790ac375dc571ba0aae30a2485c9c6c7;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su sampedro.;Sustitución;;A [Sust] [Sust] le llega su [Sust];General;"{""cerdo"": ""cerdo"", ""San Martín"": ""sampedro""}";15daa5f093aca40f6a687639e054230f5281013a7522eaa511287afc74c164c7;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su san martín.2 de abril de a las 17;Sustitución;Adición;A [Sust] [Sust] le llega su [Sust];General;"{""cada cerdo"": ""todo cerdo""}";931a17289b72a5b81d9759b841e7533ac7d1a53fbe8d0f3c3256f5f2e12e5b27;
58048;83;A cada cerdo le llega su San Martín;“a todo cerdo le llega [...];Truncamiento;;a [Sust] [Sust] le llega...;General;{};bbce77818f37967139b80d958ecef17ae8502005f1ac37784fce8ee75610bf6b;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su sanmartin, sea dicho sin segundas.;Sustitución;Adición;A [Sust] [Sust] le llega su [Sust], [Adición];General;"{""cerdo"": ""cerdo"", """": ""sea dicho sin segundas""}";f03b7024f9dd34cc2be4fadffef11d55f4e707e609c4bde58ddebd9ce57ef1c2;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su matanza.;Sustitución;Metalogismo;A cada [Sust] le llega su [Sust];General;"{""cerdo"": ""cerdo"", ""San Martín"": ""matanza""}";cf6fbd66654a9830d76e8ed56419ab32dcf8b288e1be44288d0002a5a5e81e34;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su navidad...;Sustitución;Fusión;A [Sust] [Sust] le llega su [Sust];General;"{""cerdo"": ""cerdo"", ""San Martín"": ""navidad""}";93a64e1d7d5ea84c31d6187c3103116638d7758ae6e1038907c7cfa0dd2d393b;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su san benito.;Sustitución;Fusión;A [Sust] [Sust] le llega su [Sust];General;"{""cerdo"": ""cerdo"", ""San Martín"": ""san benito""}";4bdabf94183728c6734e8aa2e4b8f07e9ffc3632a9ec78fe6d3837f5ac133c98;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su sanmartín es mentira pero tenia que ser verdad...;Adición;Sustitución;A [Sust] [Sust] le llega su [Sust] es [Sust] pero [Sust];General;"{""cerdo"": ""cerdo"", """": ""es mentira pero tenia que ser verdad"", ""San Martín"": ""sanmartín""}";3aea2cf0b2d22dd86a131f23f0feeeff8381c00ef3c307421ea0543f5a8122a8;
58048;83;A cada cerdo le llega su San Martín;A cada cerdo le llega su sanmartin...mantengamos la esperanza.;Adición;;A cada [Sust] le llega su [Sust]...[Adición];General;"{"""": ""mantengamos la esperanza""}";1dc2bc6b563009f4ae09ebe13ffea96149f052a4cbabb4d4d87ff6a4ffdf86b2;
